burstiness_target,burstiness_measured,scv_target,scv_measured,rate_per_lane,loss_probability,arrivals_measured,drops_measured
-1.0,-1.0,0.0,7.57229425585222e-24,0.86,0.0,100000,0
-1.0,-1.0,0.0,1.2863719858063658e-24,0.875,0.0,100000,0
-1.0,-1.0,0.0,5.503762010905725e-28,0.89,0.0,100000,0
-1.0,-1.0,0.0,1.7121998339155105e-24,0.905,0.0,100000,0
-1.0,-1.0,0.0,8.516721806759701e-24,0.92,0.0,100000,0
-1.0,-1.0,0.0,1.1108604210251294e-23,0.935,0.0,100000,0
-1.0,-1.0,0.0,6.2708562237736285e-28,0.95,0.0,100000,0
-1.0,-1.0,0.0,9.654663539407443e-24,0.9650000000000001,0.0,100000,0
-1.0,-1.0,0.0,9.662980660894642e-24,0.98,0.0,100000,0
-1.0,-1.0,0.0,9.94635987233674e-24,0.995,0.0,100000,0
-1.0,-1.0,0.0,2.3978550612677584e-24,1.01,0.00836,100000,836
-1.0,-1.0,0.0,1.3618473667242072e-23,1.0250000000000001,0.02429,100000,2429
-1.0,-1.0,0.0,1.393359791554063e-23,1.04,0.03846,100000,3846
-0.88125,-0.8819140701486997,0.06312292358803988,0.06274777989303716,0.86,0.0,100000,0
-0.88125,-0.8802373209100792,0.06312292358803988,0.06369551213458138,0.875,0.0,100000,0
-0.88125,-0.8801213367353438,0.06312292358803988,0.06376113122188927,0.89,0.0,100000,0
-0.88125,-0.8825255574332862,0.06312292358803988,0.062402575148505994,0.905,0.0,100000,0
-0.88125,-0.8803868313391974,0.06312292358803988,0.06361093721104984,0.92,0.0,100000,0
-0.88125,-0.8816074069145491,0.06312292358803988,0.06292098588174172,0.935,0.0,100000,0
-0.88125,-0.8808825628181235,0.06312292358803988,0.06333060847956559,0.95,0.0,100000,0
-0.88125,-0.8821021587069946,0.06312292358803988,0.06264157381021297,0.9650000000000001,0.0,100000,0
-0.88125,-0.8813235915333232,0.06312292358803988,0.06308133752256452,0.98,0.0,100000,0
-0.88125,-0.8807188179187341,0.06312292358803988,0.06342318742429892,0.995,0.0,100000,0
-0.88125,-0.8805858464718548,0.06312292358803988,0.06349837937586136,1.01,0.0073,100000,730
-0.88125,-0.8811979322424733,0.06312292358803988,0.06315234868236815,1.0250000000000001,0.02354,100000,2354
-0.88125,-0.8809491207504002,0.06312292358803988,0.06329298221639545,1.04,0.03764,100000,3764
-0.7625,-0.761925445825435,0.13475177304964542,0.13512180934706397,0.86,0.0,100000,0
-0.7625,-0.7627546349492534,0.13475177304964542,0.1345878549101511,0.875,0.0,100000,0
-0.7625,-0.7629548064252527,0.13475177304964542,0.1344590302092907,0.89,0.0,100000,0
-0.7625,-0.7630432290495448,0.13475177304964542,0.13440213322403807,0.905,0.0,100000,0
-0.7625,-0.7607918783216849,0.13475177304964542,0.13585258122971264,0.92,0.0,100000,0
-0.7625,-0.7624045760681654,0.13475177304964542,0.13481321324181864,0.935,0.0,100000,0
-0.7625,-0.7630663436438265,0.13475177304964542,0.13438726070085918,0.95,0.0,100000,0
-0.7625,-0.7625925431969466,0.13475177304964542,0.13469219401805116,0.9650000000000001,0.0,100000,0
-0.7625,-0.7614001055336993,0.13475177304964542,0.1354603611733097,0.98,0.0,100000,0
-0.7625,-0.7630122896021345,0.13475177304964542,0.13442204106889546,0.995,0.0,100000,0
-0.7625,-0.7611041890407538,0.13475177304964542,0.13565115138892997,1.01,0.00943,100000,943
-0.7625,-0.7621369102047014,0.13475177304964542,0.13498558960873633,1.0250000000000001,0.02468,100000,2468
