n_lane,egress_symbols_per_beat,burstiness,ready_duty,rho_lane,opq_loss_probability,time_merger_loss_probability,loss_ratio_clipped
4,1,0.70000000,0.75000000,0.00750000,1.000000000000e-12,3.772994644802e-03,1000000.0000000000
4,2,0.70000000,0.75000000,0.00750000,1.000000000000e-12,3.772994644802e-03,1000000.0000000000
4,4,0.70000000,0.75000000,0.00750000,1.000000000000e-12,3.772994644802e-03,1000000.0000000000
4,8,0.70000000,0.75000000,0.00750000,1.000000000000e-12,3.772994644802e-03,1000000.0000000000
8,1,0.70000000,0.75000000,0.00750000,1.000000000000e-12,6.927896235577e-01,1000000.0000000000
8,2,0.70000000,0.75000000,0.00750000,1.000000000000e-12,6.927896235577e-01,1000000.0000000000
8,4,0.70000000,0.75000000,0.00750000,1.000000000000e-12,6.927896235577e-01,1000000.0000000000
8,8,0.70000000,0.75000000,0.00750000,1.000000000000e-12,6.927896235577e-01,1000000.0000000000
16,1,0.70000000,0.75000000,0.00750000,1.000000000000e-12,9.096435829067e-01,1000000.0000000000
16,2,0.70000000,0.75000000,0.00750000,1.000000000000e-12,9.096435829067e-01,1000000.0000000000
16,4,0.70000000,0.75000000,0.00750000,1.000000000000e-12,9.096435829067e-01,1000000.0000000000
16,8,0.70000000,0.75000000,0.00750000,1.000000000000e-12,9.096435829067e-01,1000000.0000000000
