implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane,effective_load,loss_probability
opq,4,1,1.000000,-0.60000000,0.00833333,0.0242956329,1.000000000000e-12
opq,4,1,1.000000,-0.58333333,0.00833333,0.0243727088,1.000000000000e-12
opq,4,1,1.000000,-0.56666667,0.00833333,0.0244552335,1.000000000000e-12
opq,4,1,1.000000,-0.55000000,0.00833333,0.0245434671,1.000000000000e-12
opq,4,1,1.000000,-0.53333333,0.00833333,0.0246376812,1.000000000000e-12
opq,4,1,1.000000,-0.51666667,0.00833333,0.0247381597,1.000000000000e-12
opq,4,1,1.000000,-0.50000000,0.00833333,0.0248451997,1.000000000000e-12
opq,4,1,1.000000,-0.48333333,0.00833333,0.0249591117,1.000000000000e-12
opq,4,1,1.000000,-0.46666667,0.00833333,0.0250802202,1.000000000000e-12
opq,4,1,1.000000,-0.45000000,0.00833333,0.0252088646,1.000000000000e-12
opq,4,1,1.000000,-0.43333333,0.00833333,0.0253453996,1.000000000000e-12
opq,4,1,1.000000,-0.41666667,0.00833333,0.0254901961,1.000000000000e-12
opq,4,1,1.000000,-0.40000000,0.00833333,0.0256436419,1.000000000000e-12
opq,4,1,1.000000,-0.38333333,0.00833333,0.0258061427,1.000000000000e-12
opq,4,1,1.000000,-0.36666667,0.00833333,0.0259781225,1.000000000000e-12
opq,4,1,1.000000,-0.35000000,0.00833333,0.0261600248,1.000000000000e-12
opq,4,1,1.000000,-0.33333333,0.00833333,0.0263523138,1.000000000000e-12
opq,4,1,1.000000,-0.31666667,0.00833333,0.0265554751,1.000000000000e-12
opq,4,1,1.000000,-0.30000000,0.00833333,0.0267700167,1.000000000000e-12
opq,4,1,1.000000,-0.28333333,0.00833333,0.0269964707,1.000000000000e-12
opq,4,1,1.000000,-0.26666667,0.00833333,0.0272353942,1.000000000000e-12
opq,4,1,1.000000,-0.25000000,0.00833333,0.0274873708,1.000000000000e-12
opq,4,1,1.000000,-0.23333333,0.00833333,0.0277530123,1.000000000000e-12
opq,4,1,1.000000,-0.21666667,0.00833333,0.0280329598,1.000000000000e-12
opq,4,1,1.000000,-0.20000000,0.00833333,0.0283278862,1.000000000000e-12
opq,4,1,1.000000,-0.18333333,0.00833333,0.0286384977,1.000000000000e-12
opq,4,1,1.000000,-0.16666667,0.00833333,0.0289655359,1.000000000000e-12
opq,4,1,1.000000,-0.15000000,0.00833333,0.0293097803,1.000000000000e-12
opq,4,1,1.000000,-0.13333333,0.00833333,0.0296720509,1.000000000000e-12
opq,4,1,1.000000,-0.11666667,0.00833333,0.0300532106,1.000000000000e-12
opq,4,1,1.000000,-0.10000000,0.00833333,0.0304541685,1.000000000000e-12
opq,4,1,1.000000,-0.08333333,0.00833333,0.0308758835,1.000000000000e-12
