9 9
-0.25000000 -0.10000000 0.05000000 0.20000000 0.35000000 0.50000000 0.65000000 0.80000000 0.95000000
0.00500000 0.04187500 0.07875000 0.11562500 0.15250000 0.18937500 0.22625000 0.26312500 0.30000000
1.428571428571e-01 9.102990033223e-01 9.522123893805e-01 9.674306393245e-01 9.752973467521e-01 9.801178203240e-01 9.833538840937e-01 9.856839872747e-01 9.874418604651e-01
1.428571428571e-01 9.102990033223e-01 9.522123893805e-01 9.674306393245e-01 9.752973467521e-01 9.801178203240e-01 9.833538840937e-01 9.856839872747e-01 9.874418604651e-01
1.142857142857e-01 9.100000000000e-01 9.522123893805e-01 9.674306393245e-01 9.752973467521e-01 9.801031687546e-01 9.833436150524e-01 9.856839872747e-01 9.874476987448e-01
1.666666666667e-01 9.100000000000e-01 9.521276595745e-01 9.674306393245e-01 9.752747252747e-01 9.801031687546e-01 9.833538840937e-01 9.856839872747e-01 9.874360167520e-01
1.351351351351e-01 9.100000000000e-01 9.520426287744e-01 9.674306393245e-01 9.753199268739e-01 9.801031687546e-01 9.833333333333e-01 9.856839872747e-01 9.874535315985e-01
2.285714285714e-01 9.133333333333e-01 9.522123893805e-01 9.674698795181e-01 9.752293577982e-01 9.801470588235e-01 9.833333333333e-01 9.857142857143e-01 9.874418604651e-01
4.705882352941e-01 9.139072847682e-01 9.543057996485e-01 9.684466019417e-01 9.761904761905e-01 9.808682855040e-01 9.833948339483e-01 9.856459330144e-01 9.874360167520e-01
1.000000000000e-12 9.128919860627e-01 9.529616724739e-01 9.686411149826e-01 9.756097560976e-01 9.807834441981e-01 9.841463414634e-01 9.862142099682e-01 9.878048780488e-01
1.000000000000e-12 1.000000000000e-12 1.000000000000e-12 9.921052631579e-01 9.921052631579e-01 9.921104536489e-01 9.921104536489e-01 9.921104536489e-01 9.921121822962e-01
