3
0.000000 13
0.60000000 0.62000000 0.64000000 0.66000000 0.68000000 0.70000000 0.72000000 0.75000000 0.80000000 0.85000000 0.90000000 0.95000000 1.00000000
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.353461738678e-03 1.742542405927e-02 2.131975015558e-02 4.204784980117e-02 5.427332782824e-02 9.088789133096e-02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 1.327433628319e-03 1.715734061221e-02 2.131975015558e-02 4.224342119559e-02 4.479768786127e-02 6.045589692765e-02
0.403000 13
0.60000000 0.62000000 0.64000000 0.66000000 0.68000000 0.70000000 0.72000000 0.75000000 0.80000000 0.85000000 0.90000000 0.95000000 1.00000000
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.102585401308e-03 1.351982497972e-02 1.842336712494e-02 3.588459961591e-02 3.240443385476e-02 5.651804014076e-02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 2.076627556848e-03 1.354440647968e-02 1.853909179281e-02 3.581986492027e-02 3.254946648710e-02 5.427510731273e-02
0.700000 13
0.60000000 0.62000000 0.64000000 0.66000000 0.68000000 0.70000000 0.72000000 0.75000000 0.80000000 0.85000000 0.90000000 0.95000000 1.00000000
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 4.726554897545e-04 4.457262716308e-04 1.181740943848e-02 1.282567146162e-03 8.078120173917e-03 1.833793579565e-02 4.854742382832e-02 5.917470441817e-02
0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 5.004587538577e-04 4.457262716308e-04 1.181740943848e-02 1.282567146162e-03 8.078120173917e-03 1.870469451156e-02 4.474137058407e-02 5.886356565028e-02
