implementation,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane,effective_load,loss_probability
opq,4,1,1.000000,0.41000000,0.00500000,0.0260377822,1.000000000000e-12
opq,4,1,1.000000,0.42000000,0.00500000,0.0262612866,1.000000000000e-12
opq,4,1,1.000000,0.43000000,0.00500000,0.0264906471,1.000000000000e-12
opq,4,1,1.000000,0.44000000,0.00500000,0.0267261242,1.000000000000e-12
opq,4,1,1.000000,0.45000000,0.00500000,0.0269679945,1.000000000000e-12
opq,4,1,1.000000,0.46000000,0.00500000,0.0272165527,1.000000000000e-12
opq,4,1,1.000000,0.47000000,0.00500000,0.0274721128,1.000000000000e-12
opq,4,1,1.000000,0.48000000,0.00500000,0.0277350098,1.000000000000e-12
opq,4,1,1.000000,0.49000000,0.00500000,0.0280056017,1.000000000000e-12
opq,4,1,1.000000,0.50000000,0.00500000,0.0282842712,1.000000000000e-12
opq,4,1,1.000000,0.51000000,0.00500000,0.0285714286,1.000000000000e-12
opq,4,1,1.000000,0.52000000,0.00500000,0.0288675135,1.000000000000e-12
opq,4,1,1.000000,0.53000000,0.00500000,0.0291729983,1.000000000000e-12
opq,4,1,1.000000,0.54000000,0.00500000,0.0294883912,1.000000000000e-12
opq,4,1,1.000000,0.55000000,0.00500000,0.0298142397,1.000000000000e-12
opq,4,1,1.000000,0.56000000,0.00500000,0.0301511345,1.000000000000e-12
opq,4,1,1.000000,0.57000000,0.00500000,0.0304997141,1.000000000000e-12
opq,4,1,1.000000,0.58000000,0.00500000,0.0308606700,1.000000000000e-12
opq,4,1,1.000000,0.59000000,0.00500000,0.0312347524,1.000000000000e-12
opq,4,1,1.000000,0.60000000,0.00500000,0.0316227766,1.000000000000e-12
opq,4,1,1.000000,0.61000000,0.00500000,0.0320256308,1.000000000000e-12
opq,4,1,1.000000,0.62000000,0.00500000,0.0324442842,1.000000000000e-12
opq,4,1,1.000000,0.63000000,0.00500000,0.0328797975,1.000000000000e-12
opq,4,1,1.000000,0.64000000,0.00500000,0.0333333333,1.000000000000e-12
opq,4,1,1.000000,0.65000000,0.00500000,0.0338061702,1.000000000000e-12
opq,4,1,1.000000,0.66000000,0.00500000,0.0342997170,1.000000000000e-12
opq,4,1,1.000000,0.67000000,0.00500000,0.0348155312,1.000000000000e-12
opq,4,1,1.000000,0.68000000,0.00500000,0.0353553391,1.000000000000e-12
opq,4,1,1.000000,0.69000000,0.00500000,0.0359210604,1.000000000000e-12
opq,4,1,1.000000,0.70000000,0.00500000,0.0365148372,1.000000000000e-12
opq,4,1,1.000000,0.71000000,0.00500000,0.0371390676,1.000000000000e-12
opq,4,1,1.000000,0.72000000,0.00500000,0.0377964473,1.000000000000e-12
opq,4,1,1.000000,0.73000000,0.00500000,0.0384900179,1.000000000000e-12
opq,4,1,1.000000,0.74000000,0.00500000,0.0392232270,1.000000000000e-12
opq,4,1,1.000000,0.75000000,0.00500000,0.0400000000,1.000000000000e-12
opq,4,1,1.000000,0.76000000,0.00500000,0.0408248290,1.000000000000e-12
opq,4,1,1.000000,0.77000000,0.00500000,0.0417028828,1.000000000000e-12
opq,4,1,1.000000,0.78000000,0.00500000,0.0426401433,1.000000000000e-12
opq,4,1,1.000000,0.79000000,0.00500000,0.0436435780,1.000000000000e-12
opq,4,1,1.000000,0.80000000,0.00500000,0.0447213595,1.000000000000e-12
opq,4,1,1.000000,0.81000000,0.00500000,0.0458831468,1.000000000000e-12
opq,4,1,1.000000,0.82000000,0.00500000,0.0471404521,1.000000000000e-12
opq,4,1,1.000000,0.83000000,0.00500000,0.0485071250,1.000000000000e-12
opq,4,1,1.000000,0.84000000,0.00500000,0.0500000000,1.000000000000e-12
opq,4,1,1.000000,0.85000000,0.00500000,0.0516397779,1.000000000000e-12
opq,4,1,1.000000,0.86000000,0.00500000,0.0534522484,1.000000000000e-12
opq,4,1,1.000000,0.87000000,0.00500000,0.0554700196,1.000000000000e-12
opq,4,1,1.000000,0.88000000,0.00500000,0.0577350269,1.000000000000e-12
opq,4,1,1.000000,0.89000000,0.00500000,0.0603022689,1.000000000000e-12
