n_shd,skew_frames,skew_timestamp_ticks,skew_ns,aligned_poisson_mean,offered_poisson_mean,opq_effective_capacity,old_tree_depth,old_effective_capacity,opq_loss_rate,old_time_merger_loss_rate,loss_ratio_clipped,log10_opq_loss_rate,log10_old_time_merger_loss_rate,log10_loss_ratio_clipped
64,0.0,0.0,0.0,0.0,0.0,256,2,32,0.0,0.0,1.0,-12.0,-12.0,0.0
64,0.016666666666666666,17.066666666666666,136.53333333333333,2.9440000000000004,3.9253333333333336,256,2,32,0.0,5.522803043916868e-24,1.0,-12.0,-12.0,0.0
64,0.03333333333333333,34.13333333333333,273.06666666666666,5.888000000000001,7.850666666666667,256,2,32,0.0,1.5199007294366241e-15,1.0,-12.0,-12.0,0.0
64,0.05,51.2,409.6,8.832,11.776000000000002,256,2,32,8.268224440732547e-272,4.280744080961261e-11,42.80744080961261,-12.0,-10.368480735152978,1.6315192648470207
64,0.06666666666666667,68.26666666666667,546.1333333333333,11.776000000000002,15.701333333333334,256,2,32,4.3001584917878e-241,2.843568929678575e-08,28435.689296785753,-12.0,-7.546136239746538,4.453863760253462
64,0.08333333333333333,85.33333333333333,682.6666666666666,14.72,19.626666666666665,256,2,32,1.4939150084776437e-217,2.4579634045361154e-06,1000000.0,-12.0,-5.609424587408206,6.0
64,0.1,102.4,819.2,17.664,23.552000000000003,256,2,32,1.5022020237477619e-198,5.9350376414476404e-05,1000000.0,-12.0,-4.226576522299759,6.0
64,0.11666666666666667,119.46666666666667,955.7333333333333,20.608,27.477333333333334,256,2,32,1.11490618536084e-182,0.000603776372890271,1000000.0,-12.0,-3.2191238858875257,6.0
64,0.13333333333333333,136.53333333333333,1092.2666666666667,23.552000000000003,31.40266666666667,256,2,32,4.221240287267018e-169,0.0033194576510505404,1000000.0,-12.0,-2.4789328676202795,6.0
64,0.15,153.6,1228.8,26.496000000000002,35.328,256,2,32,2.8371601913581747e-157,0.01162566831591667,1000000.0,-12.0,-1.9345820717651443,6.0
64,0.16666666666666666,170.66666666666666,1365.3333333333333,29.44,39.25333333333333,256,2,32,7.931175074010144e-147,0.029129091541600968,1000000.0,-12.0,-1.5356730596435986,6.0
64,0.18333333333333332,187.73333333333332,1501.8666666666666,32.384,43.178666666666665,256,2,32,1.692554108725825e-137,0.05690497964315859,1000000.0,-12.0,-1.2448497276836803,6.0
64,0.2,204.8,1638.4,35.328,47.104000000000006,256,2,32,4.317545292168931e-129,0.09256071440661189,1000000.0,-12.0,-1.0335733020505589,6.0
