run_tag,burstiness,rho_lane,rtl_loss,tlm_loss,label
share_shallow_b000_s0200_rho06400_f0031_seed9001,0.000000,0.200000,0.74612051,0.74612051,RTL100k 74.61% raw 6.40
share_shallow_b000_s0205_rho06560_f0030_seed9002,0.000000,0.205000,0.71688963,0.71688963,RTL100k 71.69% raw 6.56
share_shallow_b000_s0210_rho06720_f0030_seed9003,0.000000,0.210000,0.65123686,0.65123686,RTL100k 65.12% raw 6.72
share_shallow_b403_s0200_rho06400_f0031_seed9004,0.403000,0.200000,0.61153027,0.61153027,RTL100k 61.15% raw 6.40
share_shallow_b403_s0205_rho06560_f0030_seed9005,0.403000,0.205000,0.62666468,0.62666468,RTL100k 62.67% raw 6.56
share_shallow_b403_s0210_rho06720_f0030_seed9006,0.403000,0.210000,0.61368384,0.61368384,RTL100k 61.37% raw 6.72
share_shallow_b700_s0200_rho06400_f0031_seed9007,0.700000,0.200000,0.45170202,0.45170202,RTL100k 45.17% raw 6.40
share_shallow_b700_s0210_rho06720_f0030_seed9008,0.700000,0.210000,0.52167488,0.52167488,RTL100k 52.17% raw 6.72
share_shallow_b700_s0215_rho06880_f0029_seed9009,0.700000,0.215000,0.54099035,0.54099035,RTL100k 54.10% raw 6.88
