run_tag,burstiness,rho_lane,rtl_loss,tlm_loss,loss_tier,label
share_shallow_b000_s0230_rho07360_f0004_seed9001,0.000000,0.230000,0.00000000,0.00000000,-,R/T10k clean 0.00/0.00% raw 7.36
share_shallow_b000_s0250_rho08000_f0004_seed9002,0.000000,0.250000,0.00000000,0.00000000,-,R/T10k clean 0.00/0.00% raw 8.00
share_shallow_b000_s0270_rho08640_f0004_seed9003,0.000000,0.270000,0.00000000,0.00000000,-,R/T10k clean 0.00/0.00% raw 8.64
share_shallow_b000_s0300_rho09600_f0021_seed9001,0.000000,0.300000,0.33967990,0.33809487,controlled,R/T100k controlled 33.97/33.81% raw 9.60
share_shallow_b403_s0250_rho08000_f0004_seed9004,0.403000,0.250000,0.00000000,0.00000000,-,R/T10k clean 0.00/0.00% raw 8.00
share_shallow_b700_s0250_rho08000_f0004_seed9005,0.700000,0.250000,0.00000000,0.00000000,-,R/T10k clean 0.00/0.00% raw 8.00
