run_tag,mode,component,rank,frame,lane,shd,rtl_hits,tlm_hits,delta_hits,is_first_by_frame,notes
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,6,151,1,1,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,7,169,3,14,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,8,178,3,65,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,1,169,3,9,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,2,171,3,27,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,3,203,1,54,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,4,112,3,11,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,5,137,1,34,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,6,151,1,1,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,7,169,3,14,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,8,178,3,65,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,1,191,-1,19,0,11,11,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,2,104,-1,111,10,0,-10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,3,141,-1,14,10,0,-10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,4,151,-1,1,10,0,-10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,5,189,-1,40,0,10,10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,6,199,-1,20,0,10,10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,7,69,-1,81,9,0,-9,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,8,72,-1,95,9,0,-9,0,
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,1,63,1,120,1,0,-1,1,decision=accept | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=663 rtl_lane_credit_max=663 rtl_ticket_credit_min=2316 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1539 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,2,63,1,120,0,1,1,0,decision=drop | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=663 rtl_lane_credit_max=663 rtl_ticket_credit_min=2316 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1539 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,3,63,1,124,1,0,-1,0,decision=accept | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=660 rtl_lane_credit_max=660 rtl_ticket_credit_min=2312 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,4,63,1,124,0,1,1,0,decision=drop | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=660 rtl_lane_credit_max=660 rtl_ticket_credit_min=2312 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,5,63,1,125,1,0,-1,0,decision=accept | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=659 rtl_lane_credit_max=659 rtl_ticket_credit_min=2312 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,6,63,1,125,0,1,1,0,decision=drop | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=659 rtl_lane_credit_max=659 rtl_ticket_credit_min=2312 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,7,63,1,126,1,0,-1,0,decision=accept | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=657 rtl_lane_credit_max=657 rtl_ticket_credit_min=2311 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,8,63,1,126,0,1,1,0,decision=drop | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=657 rtl_lane_credit_max=657 rtl_ticket_credit_min=2311 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,1,110,2,40,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=1252 | tlm_ing_rows=1 tlm_lane_credit_min=-938 tlm_effective_min=0 tlm_ticket_credit_min=-74 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,2,120,2,42,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=6 rtl_lane_credit_max=6 rtl_ticket_credit_min=1122 | tlm_ing_rows=1 tlm_lane_credit_min=-1109 tlm_effective_min=0 tlm_ticket_credit_min=-309 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,3,123,0,21,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=4 rtl_lane_credit_max=4 rtl_ticket_credit_min=1061 | tlm_ing_rows=1 tlm_lane_credit_min=-1094 tlm_effective_min=0 tlm_ticket_credit_min=-351 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,4,145,2,23,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=514 | tlm_ing_rows=1 tlm_lane_credit_min=-739 tlm_effective_min=0 tlm_ticket_credit_min=-542 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,5,155,3,59,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=269 | tlm_ing_rows=1 tlm_lane_credit_min=-617 tlm_effective_min=0 tlm_ticket_credit_min=-690 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,6,156,3,102,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=244 | tlm_ing_rows=1 tlm_lane_credit_min=-646 tlm_effective_min=0 tlm_ticket_credit_min=-707 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,7,159,2,110,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=163 | tlm_ing_rows=1 tlm_lane_credit_min=-695 tlm_effective_min=0 tlm_ticket_credit_min=-771 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,8,193,3,105,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=9 | tlm_ing_rows=1 tlm_lane_credit_min=-169 tlm_effective_min=0 tlm_ticket_credit_min=-588 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,1,110,2,40,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=1252 | tlm_ing_rows=1 tlm_lane_credit_min=-938 tlm_effective_min=0 tlm_ticket_credit_min=-74 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,2,120,2,42,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=6 rtl_lane_credit_max=6 rtl_ticket_credit_min=1122 | tlm_ing_rows=1 tlm_lane_credit_min=-1109 tlm_effective_min=0 tlm_ticket_credit_min=-309 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,3,123,0,21,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=4 rtl_lane_credit_max=4 rtl_ticket_credit_min=1061 | tlm_ing_rows=1 tlm_lane_credit_min=-1094 tlm_effective_min=0 tlm_ticket_credit_min=-351 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,4,145,2,23,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=514 | tlm_ing_rows=1 tlm_lane_credit_min=-739 tlm_effective_min=0 tlm_ticket_credit_min=-542 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,5,155,3,59,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=269 | tlm_ing_rows=1 tlm_lane_credit_min=-617 tlm_effective_min=0 tlm_ticket_credit_min=-690 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,6,156,3,102,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=244 | tlm_ing_rows=1 tlm_lane_credit_min=-646 tlm_effective_min=0 tlm_ticket_credit_min=-707 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,7,159,2,110,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=163 | tlm_ing_rows=1 tlm_lane_credit_min=-695 tlm_effective_min=0 tlm_ticket_credit_min=-771 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,8,193,3,105,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=9 | tlm_ing_rows=1 tlm_lane_credit_min=-169 tlm_effective_min=0 tlm_ticket_credit_min=-588 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,1,238,3,118,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-279 tlm_effective_min=0 tlm_ticket_credit_min=-818 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,2,240,3,126,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-199 tlm_effective_min=0 tlm_ticket_credit_min=-749 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,3,249,0,77,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-308 tlm_effective_min=0 tlm_ticket_credit_min=-908 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,4,249,1,54,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-22 tlm_effective_min=0 tlm_ticket_credit_min=-582 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,5,256,2,117,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=9 rtl_lane_credit_max=9 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-95 tlm_effective_min=0 tlm_ticket_credit_min=-605 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,6,178,0,56,0,4,4,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=5 rtl_lane_credit_max=5 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-451 tlm_effective_min=0 tlm_ticket_credit_min=-724 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,7,178,0,94,0,4,4,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=5 rtl_lane_credit_max=5 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-452 tlm_effective_min=0 tlm_ticket_credit_min=-732 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,controlled_predrop_exact_hits,8,181,3,43,0,4,4,0,rtl_ing_rows=1 rtl_drop_rows=1 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=0 | tlm_ing_rows=1 tlm_lane_credit_min=-322 tlm_effective_min=0 tlm_ticket_credit_min=-696 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,1,171,3,27,0,6,6,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,2,112,3,11,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,3,146,3,5,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,4,173,0,56,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,5,189,3,34,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,6,194,0,79,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,7,194,3,48,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,pa_load_hits,8,194,3,105,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,1,112,3,11,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,2,146,3,5,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,3,173,0,56,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,4,189,3,34,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,5,220,1,57,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,6,231,1,38,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,7,231,2,75,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_pa_action_hits,8,241,0,3,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,1,112,3,11,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,2,146,3,5,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,3,173,0,56,0,5,5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,4,189,3,34,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,5,220,1,57,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,6,231,1,38,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,forced_ingress,late_drop_control_exact_hits,7,231,2,75,5,0,-5,0,
