run_tag,case,profile,n_lane,egress_symbols_per_beat,ready_duty,burstiness,rho_lane_timestamp,rho_lane_loose_effective,frame_count,subheaders_per_frame,expected_hits,dropped_hits,rtl_loss,tight_tlm_loss,at_tlm_loss,loose_tlm_loss,tight_rel_err,at_rel_err,loose_rel_err,at_offered_hits,at_dropped_hits,at_max_occupancy,loose_horizon_cycles,loose_frame_words_avg,match_mode
boundary_b000_rho100_gap0,RTL-LS-002,3,4,1,1.0,0.0,0.1,0.08678234108033535,64,128,3271,624,0.19076734943442372,1e-12,0.18709874656068481,1e-12,190767349433.4237,0.019607843137254846,190767349433.4237,3271,612,200,9423.0,147.234375,at
boundary_b000_rho150_gap0,RTL-LS-002,3,4,1,1.0,0.0,0.15,0.12590404400529692,64,128,4944,882,0.1783980582524272,1e-12,0.1858818770226537,1e-12,178398058251.4272,0.040261153427638675,178398058251.4272,4944,919,229,9817.0,153.390625,at
boundary_b000_rho200_gap0,RTL-LS-002,3,4,1,1.0,0.0,0.2,0.161708768165415,64,128,6632,1409,0.21245476477683956,1e-12,0.17234620024125452,1e-12,212454764775.83957,0.23272090988626418,212454764775.83957,6632,1143,254,10253.0,160.203125,at
boundary_b000_rho300_gap0,RTL-LS-002,3,4,1,1.0,0.0,0.3,0.22226244343891402,64,128,9824,2356,0.23982084690553745,0.140793489318413,0.2270969055374593,1e-12,0.7033518244808045,0.056028686687584005,239820846904.53745,9824,2231,306,11050.0,172.65625,at
boundary_b000_rho350_gap0,RTL-LS-002,3,4,1,1.0,0.0,0.35,0.24873726378124184,64,128,11425,3163,0.2768490153172867,0.2635158702476456,0.27343544857768054,1e-12,0.050597123646142855,0.012483994878361097,276849015316.2867,11425,3124,334,11483.0,179.421875,at
boundary_b000_rho400_gap0,RTL-LS-002,3,4,1,1.0,0.0,0.4,0.2770105775688381,64,128,13199,3617,0.2740359118115009,0.3556115053025101,0.3062353208576407,0.07819366570692529,0.22939525936208066,0.10514596734289945,2.5045794225660742,13199,4042,355,11912.0,186.125,at
boundary_b000_rho500_gap0,RTL-LS-002,3,4,1,1.0,0.0,0.5,0.31992110453648914,64,128,16220,4707,0.29019728729963007,0.4844970703125,0.3394574599260173,0.20284851100561072,0.4010339688690931,0.14511442063203786,0.43061088228349537,16220,5506,389,12675.0,198.046875,at
boundary_b000_rho600_gap0,RTL-LS-002,3,4,1,1.0,0.0,0.6,0.3632249722940525,64,128,19665,10205,0.5189422832443428,0.5703967446592065,0.4629544876684465,0.2988049834731757,0.09020819613128424,0.12093585237258352,0.7367256637168142,19665,9104,389,13535.0,211.484375,tight
