run_tag,case,sim_pass,n_lane,n_shd,egress_symbols_per_beat,ready_duty,rho_lane,burstiness,expected_hits,accepted_hits,dropped_hits,delivered_hits,unexplained_hits,loss_probability,loss_ppm
ls005_n4_e2,RTL-LS-005,1,4,128,2,1.0,0.0075,0.0,16,16,0,12,4,0.0,0
ls005_n8_e1,RTL-LS-005,1,8,128,1,1.0,0.0075,0.0,20,20,0,18,2,0.0,0
