run_tag,case,n_lane,egress_symbols_per_beat,rho_ppm,burstiness_milli,frame_count,subheaders_per_frame,inter_frame_gap_cycles,lane_fifo_depth,ticket_fifo_depth,page_ram_depth,frame_ts_step_ticks,frame_launch_period_cycles,feb_header_latency_cycles,tlm_offered_hits,rtl_expected_hits,tlm_dropped_hits,tlm_predrop_hits,tlm_postdrop_hits,tlm_ft_drop_hits,tlm_lane_predrop_hits,tlm_lane_postdrop_hits,tlm_lane_ft_drop_hits,tlm_lane_dropped_hits,rtl_dropped_hits,tlm_loss,rtl_loss,max_lane_fifo_used,max_ticket_fifo_used,max_handle_fifo_used,max_page_frames,max_page_words,max_cycle,sequence_monotonic
marginal_b403_rho0680_f100_period4096,RTL-LS-002,4,1,680000,403,100,128,4096,2048,4096,65536,2048,4096,4096,34076,34076,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1776,2672,1,1,558,510364,1
marginal_b403_rho0700_f100_period4096,RTL-LS-002,4,1,700000,403,100,128,4096,2048,4096,65536,2048,4096,4096,35342,35342,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1969,2677,1,1,596,510683,1
marginal_b403_rho0720_f100_period4096,RTL-LS-002,4,1,720000,403,100,128,4096,2048,4096,65536,2048,4096,4096,36523,36523,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1976,2681,1,1,618,510855,1
marginal_b403_rho0750_f100_period4096,RTL-LS-002,4,1,750000,403,100,128,4096,2048,4096,65536,2048,4096,4096,38524,38524,80,80,0,0,59;0;21;0,0;0;0;0,0;0;0;0,59;0;21;0,81,0.0020766275568476792,0.0021025854013082754,2044,2686,1,1,639,511021,1
marginal_b403_rho0800_f100_period4096,RTL-LS-002,4,1,800000,403,100,128,4096,2048,4096,65536,2048,4096,4096,40681,40681,551,551,0,0,114;69;89;279,0;0;0;0,0;0;0;0,114;69;89;279,550,0.01354440647968339,0.013519824979720263,2044,2677,2,1,625,511063,1
marginal_b403_rho0850_f100_period4096,RTL-LS-002,4,1,850000,403,100,128,4096,2048,4096,65536,2048,4096,4096,43206,43206,801,801,0,0,244;262;181;114,0;0;0;0,0;0;0;0,244;262;181;114,796,0.018539091792806554,0.018423367124936352,2044,2673,1,1,675,511303,1
marginal_b403_rho0900_f100_period4096,RTL-LS-002,4,1,900000,403,100,128,4096,2048,4096,65536,2048,4096,4096,46343,46343,1660,1660,0,0,464;460;362;374,0;0;0;0,0;0;0;0,464;460;362;374,1663,0.03581986492026843,0.035884599615907474,2044,2624,1,1,685,511523,1
marginal_b403_rho0950_f100_period4096,RTL-LS-002,4,1,950000,403,100,128,4096,2048,4096,65536,2048,4096,4096,48265,48265,1571,1571,0,0,484;298;325;464,0;0;0;0,0;0;0;0,484;298;325;464,1564,0.032549466487102455,0.032404433854760176,2044,2639,1,1,747,511809,1
marginal_b403_rho1000_f100_period4096,RTL-LS-002,4,1,1000000,403,100,128,4096,2048,4096,65536,2048,4096,4096,51718,51718,2807,2807,0,0,649;688;732;738,0;0;0;0,0;0;0;0,649;688;732;738,2923,0.054275107312734445,0.05651804014076337,2044,2566,1,1,742,511893,1
marginal_b700_rho0600_f100_period4096,RTL-LS-002,4,1,600000,700,100,128,4096,2048,4096,65536,2048,4096,4096,30186,30186,0,0,0,0,0;0;0;0,0;0;0;0,0;0;0;0,0;0;0;0,0,0.0,0.0,1891,2536,2,1,661,504963,1
