run_tag,mode,component,rank,frame,lane,shd,rtl_hits,tlm_hits,delta_hits,is_first_by_frame,notes
component_b000_rho0750_f0261_seed7101,normal,controlled_predrop_exact_hits,8,104,0,0,0,5,5,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=111 rtl_lane_credit_max=111 rtl_ticket_credit_min=1447 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=768 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,1,111,2,68,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,2,120,2,42,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,3,145,2,23,0,6,6,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,4,71,2,55,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,5,89,3,93,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,6,104,0,0,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,7,104,1,99,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,pa_load_hits,8,109,1,122,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,1,203,1,54,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,2,113,1,0,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,3,137,1,34,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,4,151,1,1,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,5,168,0,52,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,6,176,3,88,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,7,178,3,65,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_pa_action_hits,8,182,0,89,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,1,203,1,54,6,0,-6,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,2,113,1,0,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,3,137,1,34,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,4,151,1,1,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,5,168,0,52,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,6,176,3,88,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,7,178,3,65,0,5,5,0,
component_b000_rho0750_f0261_seed7101,normal,late_drop_control_exact_hits,8,182,0,89,5,0,-5,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,1,104,-1,111,10,0,-10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,2,141,-1,14,10,0,-10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,3,151,-1,1,10,0,-10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,4,184,-1,48,0,10,10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,5,189,-1,40,0,10,10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,6,199,-1,20,0,10,10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,7,242,-1,0,10,0,-10,0,
component_b000_rho0750_f0261_seed7101,normal,transaction_deliver_hits,8,69,-1,81,9,0,-9,0,
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,1,63,1,120,1,0,-1,1,decision=accept | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=663 rtl_lane_credit_max=663 rtl_ticket_credit_min=2316 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1539 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,2,63,1,120,0,1,1,0,decision=drop | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=663 rtl_lane_credit_max=663 rtl_ticket_credit_min=2316 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1539 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,3,63,1,124,1,0,-1,0,decision=accept | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=660 rtl_lane_credit_max=660 rtl_ticket_credit_min=2312 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,4,63,1,124,0,1,1,0,decision=drop | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=660 rtl_lane_credit_max=660 rtl_ticket_credit_min=2312 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,5,63,1,125,1,0,-1,0,decision=accept | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=659 rtl_lane_credit_max=659 rtl_ticket_credit_min=2312 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,6,63,1,125,0,1,1,0,decision=drop | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=659 rtl_lane_credit_max=659 rtl_ticket_credit_min=2312 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,7,63,1,126,1,0,-1,0,decision=accept | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=657 rtl_lane_credit_max=657 rtl_ticket_credit_min=2311 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,normal,ingress_decision_ticket,8,63,1,126,0,1,1,0,decision=drop | rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=657 rtl_lane_credit_max=657 rtl_ticket_credit_min=2311 | tlm_ing_rows=1 tlm_lane_credit_min=1 tlm_effective_min=1 tlm_ticket_credit_min=1537 tlm_reasons=lane_credit
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,1,110,2,40,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=1252 | tlm_ing_rows=1 tlm_lane_credit_min=-938 tlm_effective_min=0 tlm_ticket_credit_min=-74 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,2,120,2,42,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=6 rtl_lane_credit_max=6 rtl_ticket_credit_min=1122 | tlm_ing_rows=1 tlm_lane_credit_min=-1109 tlm_effective_min=0 tlm_ticket_credit_min=-309 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,3,123,0,21,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=4 rtl_lane_credit_max=4 rtl_ticket_credit_min=1061 | tlm_ing_rows=1 tlm_lane_credit_min=-1094 tlm_effective_min=0 tlm_ticket_credit_min=-351 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,4,145,2,23,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=514 | tlm_ing_rows=1 tlm_lane_credit_min=-742 tlm_effective_min=0 tlm_ticket_credit_min=-547 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,5,155,3,59,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=269 | tlm_ing_rows=1 tlm_lane_credit_min=-617 tlm_effective_min=0 tlm_ticket_credit_min=-690 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,6,156,3,102,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=244 | tlm_ing_rows=1 tlm_lane_credit_min=-646 tlm_effective_min=0 tlm_ticket_credit_min=-716 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,7,159,2,110,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=163 | tlm_ing_rows=1 tlm_lane_credit_min=-702 tlm_effective_min=0 tlm_ticket_credit_min=-777 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_accept_hits,8,193,3,105,6,0,-6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=9 | tlm_ing_rows=1 tlm_lane_credit_min=-190 tlm_effective_min=0 tlm_ticket_credit_min=-599 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,1,110,2,40,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=1252 | tlm_ing_rows=1 tlm_lane_credit_min=-938 tlm_effective_min=0 tlm_ticket_credit_min=-74 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,2,120,2,42,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=6 rtl_lane_credit_max=6 rtl_ticket_credit_min=1122 | tlm_ing_rows=1 tlm_lane_credit_min=-1109 tlm_effective_min=0 tlm_ticket_credit_min=-309 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,3,123,0,21,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=4 rtl_lane_credit_max=4 rtl_ticket_credit_min=1061 | tlm_ing_rows=1 tlm_lane_credit_min=-1094 tlm_effective_min=0 tlm_ticket_credit_min=-351 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,4,145,2,23,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=514 | tlm_ing_rows=1 tlm_lane_credit_min=-742 tlm_effective_min=0 tlm_ticket_credit_min=-547 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,5,155,3,59,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=269 | tlm_ing_rows=1 tlm_lane_credit_min=-617 tlm_effective_min=0 tlm_ticket_credit_min=-690 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,6,156,3,102,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=244 | tlm_ing_rows=1 tlm_lane_credit_min=-646 tlm_effective_min=0 tlm_ticket_credit_min=-716 tlm_reasons=rtl_forced_pre
component_b000_rho0750_f0261_seed7101,forced_ingress,ingress_predrop_flag_hits,7,159,2,110,0,6,6,0,rtl_ing_rows=1 rtl_drop_rows=0 rtl_lane_credit_min=1 rtl_lane_credit_max=1 rtl_ticket_credit_min=163 | tlm_ing_rows=1 tlm_lane_credit_min=-702 tlm_effective_min=0 tlm_ticket_credit_min=-777 tlm_reasons=rtl_forced_pre
